RainTomorrow,Year,Month,Day,DayOfYear,hum_now,temp_now
0,2009,4,22,112,33.0,22.3
0,2009,4,23,113,34.0,22.6
1,2009,4,24,114,86.0,15.1
1,2009,4,25,115,89.0,14.5
1,2009,4,26,116,62.0,11.6
1,2009,4,27,117,79.0,9.4
0,2009,4,28,118,48.0,14.0
0,2009,4,29,119,46.0,12.1
0,2009,4,30,120,38.0,16.1
0,2009,5,1,121,44.0,16.3
0,2009,5,2,122,49.0,19.1
0,2009,5,3,123,51.0,18.5
0,2009,5,4,124,44.0,18.8
0,2009,5,5,125,47.0,18.4
0,2009,5,6,126,49.0,19.2
0,2009,5,7,127,49.0,18.2
0,2009,5,8,128,36.0,18.5
0,2009,5,9,129,45.0,20.2
0,2009,5,10,130,40.0,19.1
0,2009,5,11,131,53.0,17.7
0,2009,5,12,132,49.0,18.0
0,2009,5,13,133,61.0,14.6
0,2009,5,14,134,59.0,15.3
1,2009,5,15,135,63.0,15.9
0,2009,5,16,136,54.0,14.5
0,2009,5,17,137,61.0,14.7
0,2009,5,18,138,34.0,18.7
0,2009,5,19,139,51.0,18.9
0,2009,5,20,140,57.0,18.0
0,2009,5,21,141,48.0,19.1
0,2009,5,22,142,43.0,19.6
0,2009,5,23,143,37.0,21.7
0,2009,5,24,144,43.0,20.8
1,2009,5,25,145,50.0,19.5
0,2009,5,26,146,74.0,17.4
0,2009,5,27,147,58.0,15.6
0,2009,5,28,148,48.0,15.3
0,2009,5,29,149,44.0,15.9
0,2009,5,30,150,44.0,16.7
1,2009,5,31,151,46.0,16.8
1,2009,6,1,152,75.0,14.0
1,2009,6,2,153,75.0,13.4
1,2009,6,3,154,97.0,13.0
0,2009,6,4,155,58.0,16.5
0,2009,6,5,156,57.0,15.6
1,2009,6,6,157,91.0,10.2
1,2009,6,7,158,80.0,11.5
1,2009,6,8,159,79.0,11.4
1,2009,6,9,160,95.0,7.9
0,2009,6,10,161,56.0,9.7
0,2009,6,11,162,72.0,8.8
0,2009,6,12,163,72.0,7.9
0,2009,6,13,164,60.0,12.1
0,2009,6,14,165,49.0,15.5
0,2009,6,15,166,63.0,13.9
0,2009,6,16,167,49.0,15.4
0,2009,6,17,168,52.0,14.9
0,2009,6,18,169,63.0,14.5
0,2009,6,19,170,56.0,15.1
1,2009,6,20,171,56.0,16.7
1,2009,6,21,172,71.0,16.4
0,2009,6,22,173,78.0,13.6
1,2009,6,23,174,70.0,15.2
0,2009,6,24,175,65.0,13.7
1,2009,6,25,176,75.0,11.6
0,2009,6,26,177,73.0,13.0
1,2009,6,27,178,81.0,11.3
1,2009,6,28,179,76.0,12.3
1,2009,6,29,180,69.0,15.6
1,2009,6,30,181,73.0,15.3
1,2009,7,1,182,68.0,13.1
1,2009,7,2,183,74.0,11.4
0,2009,7,3,184,62.0,11.7
0,2009,7,4,185,76.0,12.6
0,2009,7,5,186,56.0,12.0
0,2009,7,6,187,65.0,11.4
0,2009,7,7,188,46.0,12.4
0,2009,7,8,189,54.0,12.4
0,2009,7,9,190,54.0,14.3
0,2009,7,10,191,62.0,13.4
0,2009,7,11,192,63.0,13.2
0,2009,7,12,193,53.0,15.4
1,2009,7,13,194,73.0,12.3
1,2009,7,14,195,75.0,10.1
0,2009,7,15,196,57.0,12.5
0,2009,7,16,197,57.0,12.8
0,2009,7,17,198,52.0,14.2
0,2009,7,18,199,64.0,11.2
0,2009,7,19,200,65.0,13.5
0,2009,7,20,201,53.0,16.3
0,2009,7,21,202,46.0,17.6
1,2009,7,22,203,81.0,10.2
0,2009,7,23,204,58.0,12.9
0,2009,7,24,205,58.0,11.6
0,2009,7,25,206,61.0,10.8
0,2009,7,26,207,74.0,9.6
1,2009,7,27,208,91.0,7.3
1,2009,7,28,209,71.0,12.0
0,2009,7,29,210,81.0,12.1
1,2009,7,30,211,76.0,12.0
0,2009,7,31,212,61.0,12.7
0,2009,8,1,213,70.0,13.3
0,2009,8,2,214,65.0,13.3
0,2009,8,3,215,49.0,13.6
1,2009,8,4,216,53.0,14.0
0,2009,8,5,217,76.0,13.6
0,2009,8,6,218,58.0,16.6
1,2009,8,7,219,47.0,13.7
0,2009,8,8,220,50.0,12.3
0,2009,8,9,221,48.0,12.1
0,2009,8,10,222,60.0,12.6
1,2009,8,11,223,59.0,15.6
0,2009,8,12,224,74.0,13.0
1,2009,8,13,225,87.0,11.1
0,2009,8,14,226,61.0,14.7
1,2009,8,15,227,57.0,17.0
1,2009,8,16,228,70.0,14.3
0,2009,8,17,229,57.0,12.8
0,2009,8,18,230,58.0,14.4
0,2009,8,19,231,61.0,15.2
0,2009,8,20,232,51.0,17.3
1,2009,8,21,233,85.0,10.1
1,2009,8,22,234,57.0,12.9
1,2009,8,23,235,67.0,18.2
1,2009,8,24,236,52.0,16.4
1,2009,8,25,237,53.0,11.7
0,2009,8,26,238,56.0,13.6
0,2009,8,27,239,49.0,16.2
1,2009,8,28,240,51.0,17.6
1,2009,8,29,241,80.0,17.5
1,2009,8,30,242,57.0,10.7
1,2009,8,31,243,72.0,13.9
0,2009,9,1,244,58.0,12.5
0,2009,9,2,245,45.0,16.0
1,2009,9,3,246,54.0,20.3
0,2009,9,4,247,58.0,15.5
0,2009,9,5,248,54.0,14.9
0,2009,9,6,249,47.0,15.4
0,2009,9,7,250,53.0,16.5
0,2009,9,8,251,59.0,15.3
0,2009,9,9,252,67.0,13.4
0,2009,9,10,253,55.0,14.3
0,2009,9,11,254,46.0,18.1
0,2009,9,12,255,39.0,24.0
0,2009,9,13,256,25.0,23.1
0,2009,9,14,257,29.0,17.1
0,2009,9,15,258,44.0,16.7
0,2009,9,16,259,39.0,20.7
1,2009,9,17,260,73.0,14.0
0,2009,9,18,261,54.0,20.3
0,2009,9,19,262,46.0,19.2
0,2009,9,20,263,50.0,16.8
1,2009,9,21,264,50.0,18.3
1,2009,9,22,265,55.0,19.2
1,2009,9,23,266,54.0,15.9
0,2009,9,24,267,55.0,17.2
1,2009,9,25,268,57.0,17.3
1,2009,9,26,269,72.0,11.1
0,2009,9,27,270,72.0,10.7
0,2009,9,28,271,56.0,16.8
0,2009,9,29,272,49.0,16.2
0,2009,9,30,273,36.0,20.9
0,2009,10,1,274,61.0,19.4
1,2009,10,2,275,55.0,20.6
1,2009,10,3,276,75.0,13.0
0,2009,10,4,277,75.0,14.8
0,2009,10,5,278,47.0,19.2
1,2009,10,6,279,77.0,10.0
0,2009,10,7,280,42.0,15.2
0,2009,10,8,281,43.0,15.7
0,2009,10,9,282,39.0,17.8
0,2009,10,10,283,36.0,17.3
0,2009,10,11,284,50.0,18.2
1,2009,10,12,285,64.0,19.0
1,2009,10,13,286,71.0,14.8
1,2009,10,14,287,60.0,14.1
1,2009,10,15,288,84.0,10.9
0,2009,10,16,289,56.0,14.9
0,2009,10,17,290,46.0,18.8
0,2009,10,18,291,50.0,19.3
0,2009,10,19,292,38.0,22.0
0,2009,10,20,293,31.0,25.8
0,2009,10,21,294,44.0,25.3
0,2009,10,22,295,38.0,25.4
0,2009,10,23,296,26.0,23.2
0,2009,10,24,297,28.0,24.8
0,2009,10,25,298,34.0,21.3
0,2009,10,26,299,38.0,20.9
0,2009,10,27,300,43.0,23.4
0,2009,10,28,301,41.0,25.8
0,2009,10,29,302,50.0,25.8
0,2009,10,30,303,46.0,28.4
0,2009,10,31,304,38.0,30.3
0,2009,11,1,305,35.0,32.7
0,2009,11,2,306,47.0,31.1
0,2009,11,3,307,39.0,21.9
0,2009,11,4,308,27.0,22.6
0,2009,11,5,309,28.0,25.3
0,2009,11,6,310,32.0,27.0
0,2009,11,7,311,27.0,28.9
0,2009,11,8,312,29.0,30.3
0,2009,11,9,313,29.0,32.8
0,2009,11,10,314,23.0,33.8
0,2009,11,11,315,18.0,34.9
0,2009,11,12,316,18.0,34.6
0,2009,11,13,317,22.0,31.7
0,2009,11,14,318,25.0,32.6
0,2009,11,15,319,16.0,35.4
0,2009,11,16,320,20.0,33.4
0,2009,11,17,321,18.0,28.6
0,2009,11,18,322,18.0,32.7
0,2009,11,19,323,11.0,39.0
1,2009,11,20,324,21.0,36.4
1,2009,11,21,325,91.0,20.8
0,2009,11,22,326,67.0,25.6
0,2009,11,23,327,37.0,22.7
0,2009,11,24,328,40.0,24.9
0,2009,11,25,329,36.0,32.0
1,2009,11,26,330,70.0,25.2
0,2009,11,27,331,56.0,24.7
1,2009,11,28,332,27.0,25.7
1,2009,11,29,333,54.0,20.7
0,2009,11,30,334,35.0,23.6
0,2009,12,1,335,31.0,22.6
0,2009,12,2,336,29.0,25.5
0,2009,12,3,337,16.0,29.8
0,2009,12,4,338,7.0,26.8
0,2009,12,5,339,22.0,25.7
0,2009,12,6,340,23.0,28.7
0,2009,12,7,341,19.0,30.6
1,2009,12,8,342,45.0,21.8
0,2009,12,9,343,24.0,23.4
0,2009,12,10,344,26.0,25.6
0,2009,12,11,345,30.0,21.0
0,2009,12,12,346,31.0,26.0
0,2009,12,13,347,27.0,28.9
0,2009,12,14,348,25.0,30.6
0,2009,12,15,349,22.0,32.5
0,2009,12,16,350,8.0,36.9
1,2009,12,17,351,28.0,31.4
0,2009,12,18,352,19.0,24.9
0,2009,12,19,353,23.0,27.7
0,2009,12,20,354,21.0,30.4
0,2009,12,21,355,10.0,32.7
0,2009,12,22,356,10.0,35.9
0,2009,12,23,357,12.0,37.5
1,2009,12,24,358,29.0,30.4
0,2009,12,25,359,49.0,27.5
0,2009,12,26,360,34.0,29.4
0,2009,12,27,361,74.0,22.7
0,2009,12,28,362,23.0,34.1
0,2009,12,29,363,24.0,34.1
0,2009,12,30,364,15.0,35.1
1,2009,12,31,365,35.0,31.1
1,2010,1,1,1,40.0,30.9
0,2010,1,2,2,48.0,28.0
0,2010,1,3,3,32.0,28.0
0,2010,1,4,4,24.0,30.6
0,2010,1,5,5,13.0,34.9
0,2010,1,6,6,7.0,33.4
0,2010,1,7,7,17.0,31.8
0,2010,1,8,8,19.0,35.3
0,2010,1,9,9,19.0,38.6
0,2010,1,10,10,8.0,41.2
0,2010,1,11,11,15.0,40.9
0,2010,1,12,12,12.0,41.1
1,2010,1,13,13,79.0,19.9
0,2010,1,14,14,28.0,30.4
0,2010,1,15,15,20.0,34.4
0,2010,1,16,16,11.0,36.0
0,2010,1,17,17,24.0,24.1
0,2010,1,18,18,30.0,20.5
0,2010,1,19,19,27.0,23.8
0,2010,1,20,20,15.0,30.7
0,2010,1,21,21,18.0,34.3
0,2010,1,22,22,9.0,39.1
0,2010,1,23,23,9.0,34.6
0,2010,1,24,24,22.0,31.7
0,2010,1,25,25,8.0,34.7
0,2010,1,26,26,10.0,34.4
0,2010,1,27,27,14.0,35.3
0,2010,1,28,28,8.0,34.1
0,2010,1,29,29,14.0,33.9
0,2010,1,30,30,22.0,34.8
0,2010,1,31,31,16.0,34.7
1,2010,2,1,32,19.0,36.9
0,2010,2,2,33,24.0,32.5
0,2010,2,3,34,23.0,34.6
1,2010,2,4,35,44.0,31.1
1,2010,2,5,36,70.0,25.0
0,2010,2,6,37,38.0,30.1
0,2010,2,7,38,32.0,32.6
0,2010,2,8,39,32.0,33.8
0,2010,2,9,40,37.0,33.5
0,2010,2,10,41,28.0,32.9
0,2010,2,11,42,35.0,33.1
0,2010,2,12,43,67.0,26.4
0,2010,2,13,44,59.0,26.6
0,2010,2,14,45,43.0,28.9
0,2010,2,15,46,44.0,26.2
0,2010,2,16,47,34.0,27.2
0,2010,2,17,48,30.0,30.0
0,2010,2,18,49,24.0,30.0
0,2010,2,19,50,34.0,29.2
0,2010,2,20,51,35.0,30.9
1,2010,2,21,52,59.0,27.3
0,2010,2,22,53,70.0,24.2
0,2010,2,23,54,34.0,24.3
0,2010,2,24,55,35.0,26.4
0,2010,2,25,56,33.0,29.3
0,2010,2,26,57,28.0,29.2
1,2010,2,27,58,62.0,24.8
0,2010,2,28,59,45.0,28.5
0,2010,3,1,60,35.0,25.5
0,2010,3,2,61,23.0,26.5
0,2010,3,3,62,26.0,28.9
0,2010,3,4,63,35.0,28.6
1,2010,3,5,64,93.0,20.1
1,2010,3,6,65,48.0,29.4
1,2010,3,7,66,82.0,21.1
1,2010,3,8,67,38.0,24.1
0,2010,3,9,68,67.0,19.0
0,2010,3,10,69,35.0,21.8
0,2010,3,11,70,40.0,22.8
0,2010,3,12,71,40.0,24.1
0,2010,3,13,72,44.0,23.9
0,2010,3,14,73,37.0,24.8
0,2010,3,15,74,38.0,26.0
0,2010,3,16,75,28.0,28.1
0,2010,3,17,76,35.0,29.5
0,2010,3,18,77,36.0,29.7
0,2010,3,19,78,31.0,30.0
0,2010,3,20,79,36.0,31.5
0,2010,3,21,80,46.0,24.7
0,2010,3,22,81,36.0,24.1
0,2010,3,23,82,23.0,26.1
0,2010,3,24,83,31.0,26.9
0,2010,3,25,84,32.0,28.9
0,2010,3,26,85,32.0,29.1
0,2010,3,27,86,32.0,30.0
1,2010,3,28,87,41.0,28.3
0,2010,3,29,88,61.0,24.8
0,2010,3,30,89,44.0,26.0
0,2010,3,31,90,42.0,25.1
0,2010,4,1,91,44.0,25.2
0,2010,4,2,92,42.0,24.4
0,2010,4,3,93,41.0,24.7
0,2010,4,4,94,37.0,24.2
0,2010,4,5,95,38.0,24.6
1,2010,4,6,96,40.0,23.8
1,2010,4,7,97,69.0,23.2
0,2010,4,8,98,53.0,23.0
0,2010,4,9,99,55.0,21.2
1,2010,4,10,100,79.0,18.3
0,2010,4,11,101,43.0,17.8
0,2010,4,12,102,54.0,16.0
0,2010,4,13,103,49.0,19.5
0,2010,4,14,104,49.0,21.6
0,2010,4,15,105,40.0,22.4
0,2010,4,16,106,45.0,24.1
0,2010,4,17,107,38.0,25.0
0,2010,4,18,108,47.0,24.6
0,2010,4,19,109,46.0,25.6
0,2010,4,20,110,49.0,24.3
0,2010,4,21,111,44.0,26.4
0,2010,4,22,112,40.0,26.4
1,2010,4,23,113,34.0,27.9
1,2010,4,24,114,86.0,18.6
0,2010,4,25,115,40.0,18.4
0,2010,4,26,116,49.0,16.9
1,2010,4,27,117,58.0,15.9
0,2010,4,28,118,50.0,16.9
0,2010,4,29,119,69.0,17.0
0,2010,4,30,120,53.0,19.0
0,2010,5,1,121,46.0,20.6
0,2010,5,2,122,47.0,20.3
0,2010,5,3,123,39.0,22.7
1,2010,5,4,124,29.0,24.8
0,2010,5,5,125,51.0,14.5
0,2010,5,6,126,68.0,15.3
0,2010,5,7,127,56.0,16.8
0,2010,5,8,128,59.0,18.6
0,2010,5,9,129,54.0,18.6
0,2010,5,10,130,47.0,19.6
0,2010,5,11,131,47.0,13.2
0,2010,5,12,132,48.0,13.8
0,2010,5,13,133,55.0,16.9
0,2010,5,14,134,46.0,17.1
0,2010,5,15,135,44.0,18.1
0,2010,5,16,136,51.0,16.3
0,2010,5,17,137,50.0,16.7
0,2010,5,18,138,38.0,19.4
0,2010,5,19,139,39.0,18.4
0,2010,5,20,140,44.0,16.1
0,2010,5,21,141,42.0,17.5
0,2010,5,22,142,45.0,16.1
0,2010,5,23,143,35.0,17.8
1,2010,5,24,144,73.0,15.0
1,2010,5,25,145,99.0,12.8
0,2010,5,26,146,50.0,18.9
0,2010,5,27,147,59.0,16.5
1,2010,5,28,148,63.0,17.0
1,2010,5,29,149,89.0,14.0
0,2010,5,30,150,47.0,19.6
0,2010,5,31,151,48.0,18.4
0,2010,6,1,152,58.0,16.1
0,2010,6,2,153,60.0,16.8
0,2010,6,3,154,50.0,17.2
0,2010,6,4,155,53.0,18.1
0,2010,6,5,156,84.0,8.9
0,2010,6,6,157,61.0,14.6
0,2010,6,7,158,50.0,13.3
0,2010,6,8,159,49.0,11.6
1,2010,6,9,160,92.0,7.9
0,2010,6,10,161,57.0,12.5
0,2010,6,11,162,66.0,12.8
0,2010,6,12,163,51.0,12.3
0,2010,6,13,164,47.0,12.0
0,2010,6,14,165,50.0,12.6
0,2010,6,15,166,65.0,12.4
1,2010,6,16,167,73.0,13.5
1,2010,6,17,168,65.0,11.0
1,2010,6,18,169,70.0,10.9
0,2010,6,19,170,66.0,14.4
0,2010,6,20,171,86.0,12.7
0,2010,6,21,172,83.0,11.8
0,2010,6,22,173,61.0,14.7
0,2010,6,23,174,52.0,15.5
0,2010,6,24,175,56.0,16.9
1,2010,6,25,176,95.0,13.2
0,2010,6,26,177,71.0,11.1
0,2010,6,27,178,54.0,11.5
0,2010,6,28,179,70.0,8.2
0,2010,6,29,180,57.0,9.1
1,2010,6,30,181,78.0,8.8
0,2010,7,1,182,67.0,10.4
0,2010,7,2,183,70.0,10.2
0,2010,7,3,184,76.0,10.0
0,2010,7,4,185,77.0,10.0
1,2010,7,5,186,70.0,11.7
0,2010,7,6,187,56.0,13.8
0,2010,7,7,188,64.0,12.6
0,2010,7,8,189,50.0,14.6
0,2010,7,9,190,57.0,14.1
1,2010,7,10,191,61.0,15.0
0,2010,7,11,192,62.0,15.2
0,2010,7,12,193,62.0,15.1
1,2010,7,13,194,93.0,12.0
1,2010,7,14,195,91.0,9.1
0,2010,7,15,196,63.0,11.4
0,2010,7,16,197,56.0,13.0
0,2010,7,17,198,69.0,10.8
1,2010,7,18,199,59.0,12.1
0,2010,7,19,200,61.0,13.4
0,2010,7,20,201,62.0,11.5
0,2010,7,21,202,58.0,12.5
0,2010,7,22,203,51.0,12.4
0,2010,7,23,204,61.0,15.2
0,2010,7,24,205,60.0,14.2
0,2010,7,25,206,58.0,13.8
0,2010,7,26,207,52.0,14.6
0,2010,7,27,208,52.0,14.7
1,2010,7,28,209,67.0,12.2
0,2010,7,29,210,80.0,14.0
1,2010,7,30,211,86.0,14.1
1,2010,7,31,212,85.0,11.6
1,2010,8,1,213,93.0,7.3
0,2010,8,2,214,56.0,13.7
0,2010,8,3,215,51.0,15.5
0,2010,8,4,216,71.0,9.2
0,2010,8,5,217,65.0,11.3
0,2010,8,6,218,59.0,12.2
0,2010,8,7,219,54.0,12.7
0,2010,8,8,220,58.0,12.2
1,2010,8,9,221,47.0,14.9
1,2010,8,10,222,77.0,15.2
1,2010,8,11,223,85.0,10.0
0,2010,8,12,224,45.0,14.7
0,2010,8,13,225,56.0,14.5
1,2010,8,14,226,67.0,12.7
1,2010,8,15,227,94.0,10.9
1,2010,8,16,228,65.0,11.3
0,2010,8,17,229,55.0,11.3
1,2010,8,18,230,86.0,8.7
1,2010,8,19,231,56.0,14.5
0,2010,8,20,232,58.0,10.4
0,2010,8,21,233,68.0,12.0
0,2010,8,22,234,49.0,14.3
1,2010,8,23,235,61.0,12.0
1,2010,8,24,236,55.0,11.7
1,2010,8,25,237,65.0,10.1
1,2010,8,26,238,70.0,11.2
0,2010,8,27,239,55.0,12.3
0,2010,8,28,240,58.0,13.3
0,2010,8,29,241,57.0,14.1
0,2010,8,30,242,51.0,15.2
0,2010,8,31,243,61.0,13.4
0,2010,9,1,244,71.0,14.2
0,2010,9,2,245,68.0,16.1
1,2010,9,3,246,55.0,17.2
1,2010,9,4,247,87.0,14.8
1,2010,9,5,248,67.0,13.2
1,2010,9,6,249,64.0,12.5
0,2010,9,7,250,49.0,14.7
0,2010,9,8,251,51.0,14.6
1,2010,9,9,252,90.0,11.9
1,2010,9,10,253,86.0,11.0
0,2010,9,11,254,54.0,15.8
0,2010,9,12,255,51.0,15.4
0,2010,9,13,256,47.0,18.2
0,2010,9,14,257,50.0,18.1
0,2010,9,15,258,58.0,13.4
0,2010,9,16,259,49.0,13.1
0,2010,9,17,260,54.0,13.7
0,2010,9,18,261,60.0,13.5
0,2010,9,19,262,55.0,16.2
0,2010,9,20,263,54.0,18.6
0,2010,9,21,264,64.0,19.2
0,2010,9,22,265,48.0,19.1
0,2010,9,23,266,52.0,19.1
0,2010,9,24,267,61.0,18.3
0,2010,9,25,268,52.0,18.7
0,2010,9,26,269,43.0,20.1
0,2010,9,27,270,50.0,19.0
0,2010,9,28,271,49.0,13.5
0,2010,9,29,272,43.0,13.9
0,2010,9,30,273,45.0,14.0
0,2010,10,1,274,42.0,16.5
0,2010,10,2,275,47.0,20.8
0,2010,10,3,276,45.0,22.3
0,2010,10,4,277,52.0,22.5
0,2010,10,5,278,52.0,23.8
1,2010,10,6,279,52.0,24.5
0,2010,10,7,280,42.0,15.5
0,2010,10,8,281,49.0,17.3
0,2010,10,9,282,49.0,19.7
0,2010,10,10,283,42.0,22.3
0,2010,10,11,284,45.0,23.2
1,2010,10,12,285,66.0,19.5
1,2010,10,13,286,94.0,16.7
1,2010,10,14,287,69.0,18.0
1,2010,10,15,288,90.0,17.1
0,2010,10,16,289,61.0,11.2
0,2010,10,17,290,56.0,14.7
0,2010,10,18,291,50.0,17.1
0,2010,10,19,292,49.0,18.2
0,2010,10,20,293,51.0,19.9
0,2010,10,21,294,47.0,22.9
0,2010,10,22,295,49.0,25.2
1,2010,10,23,296,77.0,17.2
0,2010,10,24,297,51.0,21.1
0,2010,10,25,298,47.0,20.8
1,2010,10,26,299,35.0,23.0
0,2010,10,27,300,46.0,21.6
0,2010,10,28,301,48.0,21.9
1,2010,10,29,302,44.0,25.5
1,2010,10,30,303,96.0,18.6
1,2010,10,31,304,67.0,17.6
0,2010,11,1,305,52.0,17.5
0,2010,11,2,306,51.0,20.2
0,2010,11,3,307,49.0,16.9
0,2010,11,4,308,48.0,18.2
0,2010,11,5,309,37.0,20.5
0,2010,11,6,310,42.0,20.9
1,2010,11,7,311,46.0,24.1
0,2010,11,8,312,64.0,23.4
0,2010,11,9,313,47.0,26.0
0,2010,11,10,314,45.0,28.2
0,2010,11,11,315,47.0,29.2
0,2010,11,12,316,41.0,30.4
1,2010,11,13,317,78.0,24.8
1,2010,11,14,318,73.0,22.1
0,2010,11,15,319,32.0,22.6
0,2010,11,16,320,42.0,19.8
0,2010,11,17,321,34.0,22.0
0,2010,11,18,322,36.0,24.0
0,2010,11,19,323,39.0,24.2
0,2010,11,20,324,39.0,25.5
0,2010,11,21,325,29.0,29.5
0,2010,11,22,326,36.0,29.2
0,2010,11,23,327,34.0,28.4
0,2010,11,24,328,31.0,29.5
1,2010,11,25,329,57.0,25.7
1,2010,11,26,330,68.0,23.6
1,2010,11,27,331,66.0,22.7
1,2010,11,28,332,89.0,19.4
1,2010,11,29,333,51.0,21.7
1,2010,11,30,334,81.0,19.5
0,2010,12,1,335,73.0,20.6
1,2010,12,2,336,90.0,19.0
1,2010,12,3,337,75.0,21.4
0,2010,12,4,338,48.0,28.6
